Q2   W     ε      θ      σT + εσL        σT L             σT T            
0.3  1.11  0.89   7.5    4.396 ± 0.52    −0.806 ± 0.34    −0.042 ± 0.20   
0.3  1.11  0.89   22.5   4.243 ± 0.32    −0.864 ± 0.18    −0.241 ± 0.07   
0.3  1.11  0.89   37.5   4.285 ± 0.34    −0.935 ± 0.15    −0.526 ± 0.05   
0.3  1.11  0.89   52.5   4.580 ± 0.65    −1.066 ± 0.43    −0.199 ± 0.27   
0.3  1.11  0.89   67.5   3.556 ± 0.28    −1.410 ± 0.20    −1.171 ± 0.08   
0.3  1.11  0.89   82.5   3.673 ± 0.29    −0.702 ± 0.19    −0.833 ± 0.08   
0.3  1.11  0.89   97.5   4.121 ± 0.62    −0.082 ± 0.57    −0.466 ± 0.39   
0.3  1.11  0.89   112.5  6.547 ± 1.72    0.693 ± 1.52     0.658 ± 1.79    
0.3  1.13  0.883  7.5    5.784 ± 0.56    −0.406 ± 0.34    −0.404 ± 0.17   
0.3  1.13  0.883  22.5   5.917 ± 0.41    −1.149 ± 0.19    −0.110 ± 0.07   
0.3  1.13  0.883  37.5   5.645 ± 0.61    −1.384 ± 0.22    −0.922 ± 0.09   
0.3  1.13  0.883  52.5   5.241 ± 0.40    −1.641 ± 0.19    −1.427 ± 0.07   
0.3  1.13  0.883  67.5   5.460 ± 0.37    −1.674 ± 0.20    −1.951 ± 0.07   
0.3  1.13  0.883  82.5   5.316 ± 0.38    −1.276 ± 0.17    −2.225 ± 0.06   
0.3  1.13  0.883  97.5   5.600 ± 0.55    −0.870 ± 0.37    −2.175 ± 0.19   
0.3  1.13  0.883  112.5  5.657 ± 0.52    −1.327 ± 0.32    −2.496 ± 0.15   
0.3  1.15  0.877  7.5    7.311 ± 1.18    −0.739 ± 0.61    −0.551 ± 0.42   
0.3  1.15  0.877  22.5   6.537 ± 0.45    −1.194 ± 0.20    −0.158 ± 0.08   
0.3  1.15  0.877  37.5   7.158 ± 0.63    −1.611 ± 0.17    −2.997 ± 0.06   
0.3  1.15  0.877  52.5   6.338 ± 0.44    −2.519 ± 0.32    −2.156 ± 0.15   
